id_trt,id_cont
900537,906117
901615,906546
902464,928432
902498,931947
904665,932380
905854,928184
906081,914795
906521,902431
910308,921006
910616,908482
914594,932970
914632,904040
916078,922311
918487,931544
919747,908207
920393,906879
920931,914889
933706,925348
905204,932637
911679,917456
913545,922505
919616,906346
920250,912755
920561,927233
921567,907909
923433,923976
925526,917874
926034,915060
927857,901344
901295,922230
904013,930839
905093,933304
906274,930653
908656,907095
909884,927687
910543,905420
911608,916778
912361,926738
913086,931878
915787,909551
915798,927516
916221,910946
916669,933008
921883,922326
923324,907392
923965,910941
924626,910302
928577,906920
929329,919259
931019,931299
932419,908129
932995,910093
900674,932466
902608,921362
903096,923486
903318,931021
903654,920593
903734,919892
905068,925837
906222,924945
906952,919018
907115,906160
907526,923165
908414,902858
908636,925041
909278,926686
909783,924591
910820,918944
913088,926151
913165,908361
913679,904443
913744,924639
915077,930098
916260,932861
916804,922207
917051,914360
917447,914857
918062,912602
918128,917098
918937,925731
918957,921745
920635,930469
920800,903224
921287,932039
921844,932705
922383,914493
923524,928652
923847,919183
924238,930356
924896,913859
925741,904489
926081,930066
926776,932890
928038,923677
929684,916923
929687,915794
930167,914779
932093,910410
933218,928893
900440,903088
901125,932319
901297,919560
901636,930506
901860,910214
902125,912701
903194,929452
903452,927773
904129,933678
904449,921813
904831,919852
905130,900274
905857,912423
909623,917315
910291,928589
910299,910280
910636,906302
910665,922119
911584,908194
911928,927684
913555,920632
914616,933327
914826,927590
915282,931148
915418,907590
915698,925153
917768,921943
919161,915205
919494,915784
919816,901244
920190,917574
921528,921041
921580,928891
922992,923561
923503,913013
925249,931088
926086,930372
927885,915350
927948,932253
928283,930302
929133,910321
929214,913870
930368,919677
931685,905048
932458,903841
933223,926431
933727,925710
900833,902812
901714,902651
902333,919777
902575,903762
903093,933438
903683,933602
904103,918057
904104,928251
904133,932581
905094,915061
905294,901894
905666,911414
906969,920114
907456,916427
908372,914177
908571,905510
909770,908775
910026,926677
910579,930162
910863,923874
911324,924205
911425,904696
911731,931371
912468,926598
913037,925195
913623,933398
914679,909852
915165,924746
917274,903203
918539,906749
918583,920464
918613,926862
919114,928673
919491,911100
919621,903561
920010,927457
921057,929976
921548,933032
921845,930815
921995,915381
923020,927985
923254,914744
923573,900979
924371,927622
924910,926287
925055,932529
925106,933833
926093,922155
927108,909861
927362,921204
927501,928490
927994,926177
928955,900236
930405,921927
931816,926596
932175,929186
932284,933172
932322,921126
932396,914001
900115,925287
902619,909191
902833,922885
903830,903870
904379,921909
904478,930684
904520,925725
904737,929322
908629,920463
908871,910824
909245,914048
910537,908162
913190,908056
913280,921915
913304,923554
913700,932917
914173,915266
914321,924662
915903,917830
916411,930850
916936,924070
917683,925738
918047,927152
918152,909253
918698,933166
919363,923881
919715,916303
919941,904475
919963,927358
920069,903307
920198,913523
920687,923293
921329,904596
921408,911713
921875,919825
924012,909894
926041,923271
926705,929769
926916,910182
927341,919693
927437,915914
930819,919200
930955,918117
931034,931955
933147,924954
933364,917937
933413,900476
933731,918535
900207,928859
900226,920700
900475,918295
900676,907651
900859,917464
901927,918887
902033,911636
902520,922129
903195,928505
903666,932639
903896,931649
904457,921146
905031,922049
906368,931501
906701,912338
908027,928818
908342,912982
908955,920420
909211,904897
910414,916554
910925,916105
911910,920585
912417,933633
912780,929258
913472,919104
914635,906590
914643,917825
915578,927373
916905,923140
918366,911578
918829,908266
921043,901576
922051,917885
922196,909651
922327,928916
922739,914045
922793,933767
923354,925960
923923,908698
926719,927000
927399,923752
927404,920711
929605,901131
929614,919138
930205,924767
930325,932346
930481,910541
933280,916250
901688,933623
902516,921454
903009,904426
903525,925384
905078,915379
905786,931386
907344,924849
908008,924800
908124,905443
908160,909458
908557,926495
909100,913634
909713,916601
909863,933716
910062,933564
910731,912724
910895,914127
911561,927240
911826,919061
913209,919785
913330,931554
913603,907931
914674,931884
916047,930741
916111,920773
916209,909606
916376,932780
917052,929034
918599,902714
918990,901957
920169,927689
920194,904659
