"","id","Town_pop","Socio_stat","Father's edu","Mother's edu","sex"
"1",900332,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"2",900606,2,10,10,10,2
"3",900724,3,19,12,12,2
"4",900782,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"5",900804,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"6",900843,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"7",900848,7,8,7,12,2
"8",900854,8,17,10,7,2
"9",901022,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"10",901121,8,20,12,10,2
"11",901123,6,8,7,7,2
"12",901501,7,10,12,7,2
"13",901816,9,43,16,16,2
"14",902519,4,9,7,7,2
"15",902782,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"16",902792,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"17",902973,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"18",903009,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"19",903030,9,12,12,7,2
"20",903065,2,15,10,13,2
"21",903096,8,31,10,12,2
"22",903130,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"23",903390,6,15,7,12,2
"24",903786,4,29,16,12,2
"25",904075,5,42,14,18,1
"26",904104,2,18,10,10,2
"27",904321,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"28",904331,3,15,7,13,2
"29",904348,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"30",904672,6,1,7,7,2
"31",904826,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"32",904922,4,9,10,10,2
"33",905064,7,31,10,16,1
"34",905599,3,11,7,7,2
"35",905745,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"36",905845,9,11,10,7,2
"37",906286,4,10,10,7,2
"38",906368,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"39",906398,6,27,16,10.3239459815547,2
"40",906495,2,6,7,10,2
"41",906969,3,13,10,7,2
"42",908001,4,36,16,16,2
"43",908321,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"44",908456,7,25,13,14,2
"45",908835,4,27,7,16,2
"46",909458,2,5,7,10.3239459815547,2
"47",909493,6,13,13,13,1
"48",909989,4,4,10,10.3239459815547,2
"49",910028,6,21,12,14,2
"50",910066,9,23,13,14,2
"51",910151,4,4,7,7,1
"52",910166,6,19,18,7,1
"53",910424,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"54",910533,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"55",910616,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"56",910863,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"57",911237,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"58",911261,2,5,7,7,2
"59",911266,2,10,12,7,2
"60",911698,6,20,7,12,1
"61",911952,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"62",912193,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"63",912843,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"64",912970,8,38,14,18,2
"65",913077,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"66",913359,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"67",913496,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"68",913681,6,17,10,14,2
"69",913790,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"70",913829,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"71",913844,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"72",913914,9,24,10,16,2
"73",914225,6,26,10,12,2
"74",914538,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"75",914635,3,4,7,10.3239459815547,2
"76",914826,3,9,7,10,2
"77",914849,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"78",915068,6,15,12,12,1
"79",915607,3,6,10,7,2
"80",915837,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"81",915911,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"82",916011,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"83",916114,2,9,10,7,2
"84",916180,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"85",916198,9,21,13,13,2
"86",916346,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"87",916622,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"88",916670,2,20,16,12,2
"89",916756,8,21,12,10,2
"90",917003,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"91",917114,4,12,7,12,2
"92",917781,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"93",917853,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"94",917875,4,29,16,12,2
"95",917903,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"96",918091,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"97",918253,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"98",918339,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"99",918487,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"100",918550,5,14,13,10,2
"101",918618,5,15,10,12,2
"102",918719,6,11,7,7,1
"103",918882,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"104",918969,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"105",919090,9,3,10.6685118853794,10.3239459815547,2
"106",919319,3,1,7,10.3239459815547,2
"107",919715,2,16,12,12,2
"108",920114,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"109",920119,6,15,12,12,2
"110",920274,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"111",920511,2,20,13,13,2
"112",920527,3,7,7,7,2
"113",920527,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"114",920685,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"115",920736,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"116",921281,7,4,7,7,2
"117",921287,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"118",921355,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"119",921387,2,3,7,7,2
"120",921798,3,29,16,16,2
"121",921850,7,30,7,16,2
"122",922059,2,14,7,7,1
"123",922423,4,32,14,12,2
"124",922449,2,17,14,13,2
"125",922662,9,3,7,7,2
"126",922792,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"127",923140,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"128",923304,7,35,16,18,2
"129",923342,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"130",923571,5,6,10,10,2
"131",923640,3,8,7,10,2
"132",923755,5,8,10,7,2
"133",923803,4,9,12,7,2
"134",923874,9,20,7,10,2
"135",923901,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"136",923974,2,29,12,12,2
"137",924070,5,10,12,7,2
"138",924077,6,8,13,10.3239459815547,2
"139",924386,4,16,12,10,2
"140",924395,9,11,10.6685118853794,12,2
"141",924456,3,18,14,7,2
"142",924526,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"143",924546,2,11,10,10.3239459815547,2
"144",924589,6,27,12,16,2
"145",925041,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"146",925153,6,13,10,10,2
"147",925220,4,6,10,7,2
"148",925253,8,26,16,7,2
"149",925396,2,4,7,7,2
"150",925741,8,9,7,10,2
"151",926328,7,14,12,7,2
"152",926422,2,10,10.6685118853794,10.3239459815547,2
"153",926753,7,22,12,10,2
"154",926884,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"155",927009,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"156",927403,5,20,12,12,2
"157",927467,4,14,16,10.3239459815547,1
"158",927567,4,2,7,10.3239459815547,2
"159",928101,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"160",928184,7,36,16,16,2
"161",928715,2,9,10,7,1
"162",928719,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"163",928817,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"164",929168,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"165",929174,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"166",929180,5,4,10.6685118853794,10.3239459815547,1
"167",929673,2,3,7,10.3239459815547,1
"168",930368,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"169",930497,2,7,10,7,1
"170",930711,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"171",930725,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"172",930764,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"173",930921,2,9,10,7,2
"174",931019,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"175",931021,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"176",931077,9,10,12,7,1
"177",931299,4,17,13,12,2
"178",931368,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"179",931390,4,17,10,14,1
"180",931492,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"181",931619,4,11,12,7,1
"182",932166,4,10,12,7,2
"183",932240,3,15,7,14,2
"184",932316,3,5,7,7,2
"185",932322,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"186",932857,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"187",933172,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"188",933220,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"189",933413,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"190",933783,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
