"","id","Town_pop","Socio_stat","Father's edu","Mother's edu","sex"
"1",933848,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"2",927699,2,10,10,10,2
"3",930854,3,19,12,12,2
"4",933617,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"5",933878,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"6",933611,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"7",916771,7,10,7,13,2
"8",918077,9,18,10,7,2
"9",933598,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"10",922505,8,18,12,10,2
"11",932558,6,8,7,7,2
"12",927939,7,8,12,7,2
"13",931588,9,43,16,16,2
"14",926200,4,9,7,7,2
"15",933941,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"16",933944,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"17",933847,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"18",933648,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"19",927781,9,12,12,7,2
"20",909423,2,15,10,13,2
"21",914610,9,29,10,12,2
"22",933408,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"23",920870,6,16,7,12,2
"24",931168,5,29,16,12,2
"25",932915,5,38,14,16,1
"26",932894,2,17,10,10,2
"27",933833,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"28",917246,3,16,7,13,2
"29",933811,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"30",932990,6,1,7,7,2
"31",933810,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"32",924623,4,9,10,10,2
"33",931665,8,33,10,16,1
"34",909944,3,11,7,7,2
"35",933404,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"36",925843,9,11,10,7,2
"37",926661,4,10,10,7,2
"38",933536,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"39",929280,6,27,16,10,2
"40",901961,2,6,7,10,2
"41",922595,3,13,10,7,2
"42",932737,4,35,16,16,2
"43",933503,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"44",932357,7,27,13,14,2
"45",925186,4,29,7,16,2
"46",921648,2,6,7,10,2
"47",903614,6,14,12,13,1
"48",925745,4,5,10.6685118853794,10.3239459815547,2
"49",920926,6,20,12,14,2
"50",914779,9,22,13,14,2
"51",932873,4,4,7,7,1
"52",928765,6,23,18,7,1
"53",933565,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"54",933513,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"55",932613,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"56",933706,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"57",933325,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"58",931722,2,5,7,7,2
"59",931275,2,10,12,7,2
"60",915861,6,20,7,12,1
"61",933398,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"62",933671,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"63",933919,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,1
"64",908587,7,38,14,18,2
"65",933653,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"66",933272,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"67",933257,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"68",911107,6,15,10,13,2
"69",933148,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"70",933202,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"71",932612,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"72",928404,9,23,10,16,2
"73",900842,6,28,10,12,2
"74",933193,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"75",903775,3,4,7,10.3239459815547,2
"76",928977,3,9,7,10,2
"77",932617,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"78",931890,6,15,12,12,1
"79",922261,3,6,10,7,2
"80",933467,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"81",933161,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"82",933623,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"83",924915,2,9,10,7,2
"84",933462,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"85",930048,9,21,13,13,2
"86",933171,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"87",933138,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"88",916945,2,21,16,12,2
"89",911546,8,21,12,10,2
"90",933593,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"91",917885,4,12,7,12,2
"92",933080,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"93",933578,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"94",926377,5,29,16,12,2
"95",933079,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"96",933103,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"97",933573,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"98",933015,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"99",933786,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"100",922032,5,12,13,10,2
"101",926303,5,15,10,12,2
"102",905210,6,11,7,7,1
"103",933012,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"104",933766,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"105",917937,9,3,10.6685118853794,10.3239459815547,2
"106",904702,3,1,7,10.3239459815547,2
"107",933400,2,16,12,12,2
"108",933373,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"109",926795,6,15,12,12,2
"110",932978,5.01103448275862,16.2209961685824,10.6685118853794,10.3239459815547,2
"111",922616,2,18,13,12,2
"112",922331,3,7,7,7,2
